id,__twarcretrieved_at,,text_for_analysis
207,5/3/2024,Republican,happy mother s day to all the moms out there in mi03 and throughout michigan and especially to my amazing mom
208,5/3/2024,Republican,have you signed up to join this weekend s national weekend of action get involved and help us take back the house n oh01 leadright n
209,5/3/2024,Democrat,haven t pitched in yet to keep wi03 blue chip in 5 today and join team pfaff pfafftovictory n
210,5/3/2024,Democrat,haydensamples23 thank you
211,5/3/2024,Democrat,healthcare shouldn t be a privilege and neither should imposing you will by force like desantis is doing be tolerated n rally calltoaction transrights lgbtq demandbetter
212,5/3/2024,Democrat,heather_mom4nuk solar_rights californiapuc gavinnewsom savecleanenergy savediablo excellent propaganda oh i see it aid by nuke subsidies on a campaign to get more
213,5/3/2024,Democrat,hell no it s time to end the price gouging and cut taxes for working people
214,5/2/2024,Democrat,hello south lyon blake s was hoppin today and it s always good to get a hard cider tasting in before 11 am thanks to joeneguse for visiting and seeing what michigan has to offer mi07
215,5/3/2024,Democrat,help me defeat cawthorn by chipping in today
216,5/3/2024,Democrat,help me defeat madison cawthorn by chipping in a few dollars today
217,5/3/2024,Democrat,her personal financial disclosure shows she owns more than 100 000 of stock in chinese e-commerce giant alibaba whose founder is a member of the chinese communist party but she lied anyway because she thinks she can fool florida voters don t let her get away with it 2 2
218,5/3/2024,Republican,here is angiecraigmn lying to minnesotans saying she s a strong supporter of america s energy independence n ndoes she think minnesotans in mn02 forgot that her biggest cheerleader joebiden made a campaign stop for craig after he nixed the keystone xl pipeline
219,5/3/2024,Democrat,here s the bottom line washington isn t doing enough to serve arizona families david schweikert is in the pocket of every special interest you could imagine so i m doing things differently arizona families first now and always
220,5/3/2024,Democrat,here s the thing if congress doesn t pass bbb we re risking huge programs that would be lifechanging for millions of people across the country and here in so arizona including necessary pieces to address climate change healthcare immigration and childcare among others 2 4
221,5/3/2024,Democrat,hinsonashley voted against 5b in infrastructure support for iowa bad move n nthe house just passed a historic bipartisan infrastructure package that will create more than 770 000 jobs by 2025 n
222,5/3/2024,Democrat,history n nthe senate just voted to confirm my cousin sunshine sykes to be a judge for the central district of california - she is the first ever navajo to become a district court judge n nso proud of her
223,5/3/2024,Republican,honoring america s purple heart recipients with americanlegion post 105 redwood city ca at golden gate national cemetery nationalpurpleheartday
224,5/3/2024,Democrat,hopefully our neighbors amp fellow constituents will prevent that from happening n njoin us n ndonate to a campaign about getting good laws passed - not mud-slinging rhetoric
225,5/3/2024,Republican,hostile administrations drive prices up in whatever industry they attack n nfact
226,5/2/2024,Republican,how is this even in question what country on earth would allow an american to travel there and vote in their elections add a little no id required and you have the total insanity of the democratic perspective on voting
227,5/3/2024,Republican,how many more innocents have to die at the hands of new york democrats n ngiving judges discretion is a no-brainer to rein in the chaos that s befallen our state n n
228,5/3/2024,Republican,how out-of-touch are thedemocrats n nthey want everyday americans who are struggling to afford 5 gallon gas to get rid of their car and buy a 60-80k electric car instead n nare joebiden or speakerpelosi going to pick up the tab for the new car n n ca13 costoflivingcrisis
229,5/3/2024,Democrat,huge thank you to missionforaz amp metz4congress we are all in this together n nsign up to volunteer here
230,5/3/2024,Democrat,i am blessed to be in this fight with my grandparents right by my side across all generations we are uniting and in it to win it for south texas n ni am so grateful to everyone who came out to the first block walk they ever hosted tx15 vamosporquince
231,5/3/2024,Democrat,i am determined to create progress and uphold the democracy that democrats in congress have worked hard to protect help me win this important race help get the vote out in lakegrove teamfleming ny01 newyork suffolkcounty voteblue
232,5/3/2024,Republican,i am happy to announce that a debate is set larryoconnor and lisadnews at garfield auditorium next friday night at 7pm hosted by pwc100 and lwv n nsee you there spanbergerva07
233,5/2/2024,Republican,i am honored by tim s endorsement which comes from a man of strong convictions great moral character amp a deep abiding commitment to his faith n ni hope to draw on his economic expertise as i work in congress to deliver economic relief to the families of co07
234,5/3/2024,Democrat,i am honored to earn the support of the giffords pac and to lead the fight for common sense gun reform i support crisis prevention measures that keep guns out of the hands of criminals and those with a history of domestic violence 1 2
235,5/3/2024,Democrat,i am honored to have this endorsement i have lived and worked in mi10 my entire life and have the experience needed to represent my district in congress
236,5/3/2024,Republican,i am with you corymillsfl farmlands need to be used to make food for americans by americans
237,5/3/2024,Republican,i can still think back to the distant year 2020 when covid vaccines were first talked about n nall the left was swearing to never take the trump shot grumbling how it was about untested amp unsafe n nand to think that all it took was an election to change their minds
238,5/3/2024,Republican,i d like to thank the marion county republican party for supporting my campaign for oregon s sixth congressional district orpol or06
239,5/3/2024,Republican,i d say the writing was on the wall but biden took that down secure our borders now n
240,5/2/2024,Republican,i don t want to hear elected officials who posted links to bail out george floyd rioters say a single word about how violent or deadly jan 6 was n nbecause it was neither compared to the destruction amp dead bodies piled up after the summer of 2020
241,5/3/2024,Democrat,i get why tom kean jr s handlers try to stop him from taking questions from the press and voters n ni don t get how he can have so little self-respect that he lets them is he really ok advertising that he can t or won t do a basic part of the job he s seeking
242,5/3/2024,Democrat,i got in this race because whether you re a democrat or a republican you deserve a fair shot at a good-paying job affordable health care and infrastructure that works n nand when i stand side by side with sherrodbrown in the senate we ll be fighting for all ohioans
243,5/3/2024,Republican,i had a wonderful time at black diamond miner s day on saturday to everyone who stopped by to say hello thank you for taking the time the campaign trial can be grueling but speaking to people like you gives me the energy to keep going let s flipthe8th
244,5/3/2024,Democrat,i had a wonderful time this weekend with voters at a bilingual meet amp greet at la puebla mexican restaurant in west liberty many thanks to adamzabner for helping with translation also could this baby be any cuter
245,5/2/2024,Democrat,i had an amazing opportunity to meet speakerpelosi and speak to her about how vital it is we flip ca41 and support willrollinsca not only does she agree but she supports will 100
246,5/3/2024,Republican,i had the pleasure of joining philanthrodaily s givers doers amp thinkers podcast to discuss restoring the middle class reichertforcongress copolitics co7 n
247,5/3/2024,Democrat,i have the best chance of keeping az-06 the 4th most flappable district blue i need your support check me out at where you can donate online
248,5/3/2024,Democrat,i have the experience necessary to continue working to reform our government i will continue to focus on prioritizing ways to save taxpayer dollars bring much-needed transparency to government spending and hold washington accountable
249,5/3/2024,Republican,i have the experience that peter meijer doesn t n njoin my team and vote john gibbs august 2nd to represent the patriots of west michigan the way they deserve
250,5/3/2024,Democrat,i just saw breaking news about a mass shooting at least 10 dead in buffalo ny what is really sad is when i heard the shooter was in custody i immediately assumed they were a white male since they are alive i was right
251,5/3/2024,Democrat,i just stopped by the 4th street fire fundraiser at tavernpopcorn in la crosse i am proud to see our community come together during time of need the event goes until midnight with live music great food amp a silent auction to support those affected i hope you will stop by
252,5/3/2024,Democrat,i kicked off my week with algorand at sxsw2022 sharing my story about running for congress climate and crypto on the same stage as officialrundmc algorandatx
253,5/2/2024,Republican,i know this week has been a hard one for veterans of the mission in afghanistan joe biden may not care about them but i do and in congress i ll do everything in my power to improve the support and care our country provides america s heroes
254,5/3/2024,Democrat,i ll always stand up for kansans and work across the aisle to bring opportunity to the third district kansas is better off when we work together to move forward n nread my op-ed for the kcstar n n
255,5/3/2024,Republican,i love meeting voters everywhere i go with less than 18 days until election day it s important you make your plan to vote il13
256,5/3/2024,Democrat,i m always gonna be on the side of the workers and i m never gonna stop fighting to invest in our infrastructure invest in our communities invest in our schools and in our kids n n
257,5/3/2024,Democrat,i m attending democratic public education caucus of florida s event dpecf general membership meeting sign up now to join me
258,5/3/2024,Republican,i m excited to join my good friends nrcc chairman reptomemmer congressman chiproytx amp mayor of schertz ralph gutierrez for a campaign cookout on tuesday oct 18th at 5 30pm n nbring your family amp friends - we can t wait to see y all n nrsvp
259,5/3/2024,Republican,i m honored to have been endorsed by theamericanorg we can respect the religious rights of all while unapologetically recognizing that our constitution was grounded in the higher law ca13 fightforthevalley
260,5/3/2024,Republican,i m honored to have raiders legend burgessowens as a friend we will need the support of other members of congress from the west to solve our water issues
261,5/3/2024,Democrat,i m josh remillard and i m running to defeat madison cawthorn help fuel our fight and bring integrity back to congress
262,5/3/2024,Democrat,i m josh remillard and i m running to defeat madison cawthorn help fuel our fight and bring integrity back to congress
263,5/3/2024,Democrat,i m outside of the supreme court advocating for women s right to choose because nobody should be dictating the decisions we make for our own health care n ni ve got the no 1 targeted race in the nation and i need to keep this seat help me win this election
264,5/3/2024,Republican,i m proud of the saugus football team for again displaying their support of law enforcement we should take pride in this support not shame it principled based behavior not fear-based at its best n
265,5/3/2024,Democrat,i m proud to have worked to deliver this funding for our small businesses it will open up investment to those who ve faced barriers helping our businesses grow and empowering our community to make their dreams a reality n
266,5/3/2024,Democrat,i m running for congress in tx15 because i believe that no one should have to n n struggle to put a roof over their heads n cross over to mexico to access affordable healthcare n forgo dreams of an education because of the price tag
267,5/3/2024,Democrat,i m running for re-election to continue to bring your voice to washington n nwe ve only got 29 days until election day and i need your help in this final push n ncan you chip in 5 10 or whatever you can ia03 n
268,5/3/2024,Democrat,i m so honored to have the endorsement of dr abdulelsayed one of the most powerful and respected voices on community health in the nation n nplease join our town hall healthcare is a human right may 19 7 30 pm at macomb community college or online
269,5/3/2024,Democrat,i m supporting adrian_fontes and krismayes because i know how important their races are n nthat s why i m thrilled to be joining almaforarizona and hernandez4pima to host an event this sunday oct 30th you join us or give if you can t come
270,5/3/2024,Democrat,i m working to cut taxes for you and your family jd vance thinks more money in your pockets is a gimmick n nwho do you want fighting for you in the senate
271,5/3/2024,Democrat,i met ian in 2005 when i worked at human rights watch he came to us to report detainee abuse at a forward operating base in iraq his account was significant because it proved that the abuses at abu ghraib were systemic not isolated incidents 2
272,5/3/2024,Democrat,i spent decades as an educator amp guidance counselor in our schools i find it appalling that the gop thinks it s acceptable for kids to learn how to hide from active shooters but not that sometimes kids have two moms
273,5/2/2024,Democrat,i sponsored legislation that will allow the government to use the seized assets from russian oligarchs to fund aid to ukraine i stand for freedom here and everywhere
274,5/3/2024,Democrat,i started this campaign with a promise to go to every corner of ohio and talk to every last ohioan for the next five weeks you can catch us doing just that on our workers first express n nlet s bring this home
275,5/3/2024,Republican,i took the time to complete ballotpedia s candidate survey to share my vision and goals you ll be able to see the responses on my profile shortly
276,5/3/2024,Democrat,i ve officially been endorsed by naral n ni have always and will always fight to safeguard our fundamental freedoms unlike my opponent with the future of abortion rights on the line building a pro-choice coalition to win this november could not be more important
277,5/3/2024,Democrat,i ve spent my entire life fighting for wisconsin as secretary of agriculture as state senator and soon to be as congressman n nderrick s running to bring radical maga policies here to wi03 and together we ll beat him
278,5/3/2024,Democrat,i was thrilled to join sengillibrand at ignite long island yesterday the senator s made in america manufacturing communities act is exactly what we need to create more high-paying union jobs right here in ny01 and secure our supply chain n n
279,5/3/2024,Democrat,i wholeheartedly endorse michelle she has the passion commitment and empathy needed to advocate for the constituents of district 15 alvarado said n via riogguardian
280,5/2/2024,Democrat,i will continue to put people over politics and deliver for hampton roads
281,5/3/2024,Democrat,i will never forget that horrible and shameful day n nthe personal fear and terror i experienced knowing our democracy was under attack as my colleagues and i were rushed from the house chamber will stay with me forever 1 2
282,5/3/2024,Democrat,ian fishback was a hero twice over he was a west point grad who served four combat tours in afghanistan and iraq and a deeply moral person who called out and helped end the torture of detainees in those wars n nhis death is heartbreaking and should be a call to action 1
283,5/3/2024,Democrat,ianlendler solar_rights thank you for defending the liberty of americans to produce electricity from the sunlight that shines on their homes
284,5/3/2024,Republican,icymi il appellate court dismisses gov pritzker s appeal as moot n n there is power in numbers amp i am proud to have joined parents from across the great state of illinois to defeat gov pritzker s mask mandate and stand up for parental choice n nfull statement twill il13
285,5/3/2024,Democrat,if anyone was curious i had to lose my verification status by changing my handle from jessep4congress to jessep4florida because of a new race
286,5/3/2024,Democrat,if it took our politicians over a decade to invest in our crumbling infrastructure how long will it take them to address other bubbling crises like a decreasing social security fund n nit s time for new leaders that can address the challenges of tomorrow before they happen
287,5/3/2024,Democrat,if washington won t do something about the price at the pump then it s time for our legislature to start leaning on the gas companies to stop inflating prices i don t know about you but green energy sounds like a great way to lower fuel prices amp create good paying jobs
288,5/3/2024,Democrat,if we want to get what we need in iowa we ve got to have the loudest proudest voices in congress to make sure we get these bills across the finish line n nthat s what i ve done every step of the way n
289,5/3/2024,Democrat,if you ask the same folks different questions you would find that they support peace n nwould you support an immediate end to the war in ukraine n nwould you support russian soldiers securing their weapons and beginning to help civilians
290,5/3/2024,Democrat,ilhan we need to pass federal legislation that explicitly protects all women s right to the full range of pregnancy care and support including safe abortion care medical decisions should be made between patients and their doctor not by politicians
291,5/3/2024,Democrat,imagine how much stronger our country would be and how much less divided we d be if pres biden guaranteed healthcare to every american and we provided a universal basic income
292,5/3/2024,Republican,in america we should always err on the side of freedom
293,5/3/2024,Republican,in case you missed it yesterday i m continuing my run for congress in va07 n nthe new district lines encompass my home it s where my family lives it s where i grew up and it can no longer be represented by abigail spanberger
294,5/2/2024,Democrat,in congress we ve passed laws like the bipartisan infrastructure bill and the chips act that bring investment jobs and opportunity back home to benefit michigan workers and our small businesses 2 3
295,5/2/2024,Democrat,in indiana
296,5/3/2024,Republican,in the last two years joshgottheimer traded stock in 326 companies and was involved in 43 potential conflicts of interest that s a big deal n nthis november let s fire insidertradergottheimer
297,5/3/2024,Republican,in the news congressional district 4 race n n national republican congressional committee nrcc is backing mesquite-based assemblywoman annie black who faces just two other opponents in the june primary
298,5/3/2024,Democrat,in the richest country on god s green earth no one should ever have to cut their pills in half to make their prescription last longer
299,5/3/2024,Republican,in the span of 6 wks we ve raised 130k reiterating our frontrunner status in the primary on both sides of the aisle i am the only candidate in il-06 that has a proven record of making our neighborhoods safe improving the economy amp lowering taxes n
300,5/3/2024,Republican,incredulousmike ___b___218 thehill mike do you honestly think banning an ar15 will stop school shootings
301,5/3/2024,Republican,inflation is now the highest it has been since the year i was born meanwhile the joebiden administration continues to ignore our stagnating economy
302,5/2/2024,Republican,inflation just surged the most in 31 years n nif the democrats actually care about inflation they must immediately drop their reconciliation bill which will make inflation even worse n nthey can choose workers or they can choose the radical left n
303,5/3/2024,Democrat,interested in joining our student ambassador program fill out this application
304,5/3/2024,Democrat,intersolarna david peterson is the only candidate nationwide who will eliminate 100 of the fines fees amp restrictions on residential-solar n njoin us n nsolar liberty now n n amp elect david peterson to make it happen
305,5/3/2024,Democrat,ionslr and we live in a no soliciting neighborhood fix this ionslr because it would suck to have vbpd arrest someone representing your company we are not interested stay away
306,5/3/2024,Democrat,iowans believe public dollars should fund public schools but rs in the state senate passed a bill that n n diverts 76m away from public schools where 93 of iowans are educated n undermines underfunded rural schools n requires 0 transparency from private schools that get funds
307,5/3/2024,Republican,is this agency serious what about the millions of people who have been brought here illegally the irs forgot to include their handlers in this statement 1 2 n
308,5/3/2024,Republican,it has been said that putin could invade ukraine any day now we are pulling out us embassy staff leadership smh
309,5/3/2024,Democrat,it is a major injustice the way our country chooses to distribute healthcare health should not be a luxury limited to the rich and well-off
310,5/3/2024,Republican,it is an honor to speak with congressman biggs
311,5/3/2024,Republican,it s 5 pm - two hours to go and ranger says go vote remember if you re in line at 7 pm when polls close you can still cast your ballot n winsomesears jasonmiyaresva and our local candidates need every single vote let s do this virginia
312,5/3/2024,Democrat,it s hard to imagine that i m having to say this - but people should be able to make their own medical decisions without the intervention of politicians and particularly extreme politicians
313,5/3/2024,Democrat,it s national voter registration day are you registered to vote n ncheck your voter registration status at and make a commitment to vote today
314,5/2/2024,Republican,it s no surprise that the american people see inflation as the biggest issue facing our country as prices keep surging with inflation at a 40 year high and up it gets harder and harder to afford the basic necessities americans need relief not higher inflation
315,5/3/2024,Democrat,it s official i qualified for the 2022 ballot for arizona s 6th congressional district whether you collected signatures like maryellenbeaurain or signed my petition like rachel and stan i couldn t have done this without you thank you together we will win
316,5/3/2024,Democrat,it s one thing to talk about tackling rising prices it s another to offer solutions that provide relief to families n nthese common sense proposals would address supply chain disruptions reduce tariffs and expand our own supply of goods here at home
317,5/3/2024,Republican,it s time to get to know your candidates much-needed change is coming so we ve teamed up for this event to share our ideas it s this sunday so please rt amp save this tweet
318,5/3/2024,Republican,it s time we send henry cuellar packing this november the people of tx28 are ready for a better way forward let s do this amp flip this seat red
319,5/3/2024,Democrat,it s times like this where the sr-71 would be a great asset to have satellites are nice but the blazing speed of the blackbird combined with the enhanced technology of today would be unstoppable in gather intel for ukraine
320,5/3/2024,Democrat,it was a pleasure to welcome secvilsack to my state senate district to talk about new programs that will grow rural economies increase sustainability and benefit farmers and businesses right here in iowa
321,5/3/2024,Republican,it was great to see everyone last night at the scott county fair the energy and momentum continues to be on our side as we work tirelessly to restore proper representation to minnesota s second district and provide a check and balance on biden s agenda mn02
322,5/2/2024,Democrat,it was particularly special to me to be invited not just to join the forum but to stay at the mccain family ranch some know my history with senator mccain amp i want to share more about why it means so much to participate in this weekend amp the importance of these gatherings
323,5/3/2024,Democrat,it won t be easy but i believe in our grassroots team in 365 days we re going to elect leaders across ohio who will fight like hell for working people n nwe do it by showing up and by outworking the other side because if i know one thing it s that you never bet against ohio
324,5/3/2024,Republican,it would be great to bring this beautiful production to nh i wonder if there are any venues to host the show people need to know there was a real china before communism a china with truth compassion and tolerance the opposite of communism shenyun
325,5/3/2024,Republican,ixodioxi rocketscientist nobody
326,5/3/2024,Republican,jackposobiec china has been at war with the world for years and the the world has been too busy trying to kiss their commie butts to realize we are losing badly n ntrump tried to warn us and look what they did to him
327,5/3/2024,Republican,jackposobiec smith-mundt modernization act of 2012
328,5/3/2024,Democrat,jan 6th insurrection palling with white supremacists creating 2nd amend sanctuary cities for militias and so much more now killing aoc and wanting to slay our potus it s not a joke he can t be in leadership in 2022 nhelp me clean out his office n
329,5/3/2024,Republican,janicedean foxweather florida can t take another hit praying for florida lanciaforri
330,5/3/2024,Democrat,jd vance is the last guy you d want playing on your team unless you re peter thiel
331,5/3/2024,Democrat,jd vance made millions profiting from globalization and says it was not necessarily bad trade deals that hollowed out our communities and sold ohio workers out wrong n ni ll work with anyone to fix our supply chains and bring manufacturing home let s make things in ohio again
332,5/3/2024,Democrat,jd vance openly supported rioters who attacked capitol police officers he even raised money to help them and held a fundraiser at one of their farms he s too dangerous for ohio n n ohsendebate
333,5/3/2024,Democrat,jenfl23 ro khanna has endorsed multiple anti-medicare for all candidates n n- and zero progressives
334,5/3/2024,Republican,jeremybhughes voteaprilbecker one of the biggest primary wins for cd3 in quite some time
335,5/3/2024,Democrat,jessicaemiranda ohdems love to see a majority of ohio voters cast ballots against the most corrupt candidate in each race nif the take bribes amp grant favors - - that s corrupt
336,5/3/2024,Republican,jim_jordan damnit jim call it what it is we are in a fight between good and evil those who openly support those who would victimize children and those who defend them
337,5/3/2024,Republican,joe biden depleted our strategic petroleum reserves to their lowest levels in 40-years b c he was desperate to try and help democrats in november n nthis irresponsible amp reckless decision has put america s national security at risk and set the us up for enormous economic pain
338,5/3/2024,Republican,joebiden believes 18 year olds are old enough to send to war but should be banned from owning ar-15s at home n nwhat do you think
339,5/3/2024,Democrat,join me as we honor our elders veterans teachers artists healthcare workers families and youth who will carry our languages cultures and traditions for the next seven generations nahm
340,5/2/2024,Republican,join me tomorrow on foxnews at 7 20am to discuss the latest in ukraine
341,5/3/2024,Democrat,join me tonight at franco s
342,5/3/2024,Republican,join the fight help me defeat liberal repmikelevin and fire speakerpelosi n n chip in 5 bucks today to flip ca49 conservative year end deadline n n
343,5/3/2024,Republican,join the hundreds of volunteers who have signed up and are ready to send battleprovenleadership to washington to represent us in indiana s first congressional district join at
344,5/3/2024,Republican,join us this week for phone calls from home and or knocking doors this saturday please let us know if you can help n
345,5/3/2024,Republican,jrmajewski nothing happens by accident you can destroy a nation without every firing a single shot
346,5/3/2024,Democrat,jstauf4316 i appreciate it i have to think about all the corrupted politicians because they will stand in the way of helping working class families
347,5/3/2024,Republican,juliecbarrett wagop smileyforwa agreed wsrp rnc does not they get more for losing and if they were to win funny thought right they would actually have to do something instead of always blaming the dems losing is the true incentive thus the problem we must return to the party of lincoln and reagan
348,5/3/2024,Democrat,just 10 days to election day and i m happy to be in franklin county n nover the next week i ll be visiting all five counties to talk about how we re movingkansasforward n nfollow along
349,5/3/2024,Democrat,just a friendly and urgent reminder that madison cawthorn is one of the members of congress who helped plan the insurrection it s time the doj holds cawthorn accountable
350,5/3/2024,Republican,just appeared live on rsbnetwork with brianglenntv at donald trump s saveamerica rally be sure to tune in to my appearances leading up to tonight s big event nh02 nhpolitics americafirst maga
351,5/3/2024,Republican,just because you slap a label on something doesn t mean that s what you re going to get and that s exactly what the democrats in congress are doing passing a bill called the inflation reduction act which isn t going to do anything of the kind oh01 n
352,5/3/2024,Democrat,just dropped off some dog and cat toys for chase amp rocket s pet supply and toy drive for the animals at azhumane chase amp rocket are the crisis response canines for scottsdale pd and the drive is in honor of their birthdays n scottsdalepd
353,5/3/2024,Democrat,just fyi if anybody is watching the candidate filing and hasn t seen my name my family is heading with me to raleigh monday to file can t wait
354,5/3/2024,Republican,just the kind of abuse a former inspector general can fix send yourgreenberet to takethehill
355,5/3/2024,Democrat,justinelliott kysen kentucky voters
356,5/3/2024,Democrat,kaiman4congress would you be willing to sacrifice nato-expansion to save lives
357,5/3/2024,Democrat,kansas sent a clear message to our nation a majority of americans support the right to reproductive freedom n narizona is next
358,5/3/2024,Republican,katiedaviscourt mariners you are a progressive katie we don t need that we need people with a spine and morals you aren t that
359,5/3/2024,Democrat,katieporteroc how many new members of congress can we ad in 2022 to promote this agenda
360,5/3/2024,Democrat,kean s position is obviously not pro-choice pro-choice means that while the decision may be complicated women make it with their families and doctors women have control over their bodies not the government
361,5/3/2024,Republican,keeping our communities safe isn t a partisan or political issue but da gascon is behaving like the penguin from gotham city enabling the criminals time and again gascon has put criminals before victims and local families n n
362,5/3/2024,Democrat,knocked doors w my good friend lauraforaz who s running for house in the az leg s new ld4 when i ask people about issues important to them many can be solved at the state leg which is why voting for great candidates all the way down ballot is crucial- particularly this cycle
363,5/3/2024,Republican,kobchrisramirez paulhaidle kob4 in order for that to happen you would have to vote for change when you have a monopoly of thought there is no deviation from that -it doesn t matter- they will not vote against their party so what we see is that party tribalism overtakes what is best for new mexicans
364,5/3/2024,Republican,komonews i absolutely hate it a homeless gender non-conforming troll has nothing to do with a kraken for god sakes seattlekraken really
365,5/3/2024,Republican,ksbehera mlancia45 you too thank you
366,5/3/2024,Democrat,ksorbs you have no clue why a woman would choose an abortion nyou have no idea of the viability of a fetus at any stage nand most of all who made you god all male decider that woman s decision maker nif so you pay for her healthcare medical bills child support and child s college
367,5/3/2024,Republican,kyledcheney hillary had classified documents on anthony weiner s laptop amp nothing was done n nunlike hillary trump had full authority to declassify at will he says the words amp it s done both he and his wh lawyers say that was done biden can t waive prior declassification to entrap trump
368,5/3/2024,Democrat,ladolcevitaone repgosar omg i just laughed so hard i had to do the pee dance
369,5/3/2024,Republican,landsman played a central role in the most corrupt city council in cincinnati history while aligning himself with the far-left fringe of the dem party nwhile i was working tirelessly to save small businesses and jobs during the pandemic you were pushing to defund the police
370,5/3/2024,Democrat,larrytenney claylacy burdickca7 kackleyz rollcall dccc only voters can drain the swamp
371,5/3/2024,Democrat,last day to register and vote in the primary is this week
372,5/3/2024,Republican,last night i was welcomed by an energized and passionate crowd at the sussexcountygop beefsteak n na tax-raising congressman who votes 100 of the time with joe biden amp nancy pelosi is sussex county s worst enemy n nvote november 8th
373,5/3/2024,Republican,last night s debate performance solidified what the cook report already knew we are leading in this race and it is time to come together and defeat abigail spanberger and let her stay in henrico county n va07
374,5/3/2024,Democrat,launched our final gotv weekend with 1199seiu - i couldn t ask for more amazing partners in defending democracy n nyou can vote early today 11 05 or tomorrow 11 06 find your polling place and make a plan to vote by visiting
375,5/3/2024,Republican,laura_devereaux pattymurray smileyforwa well i know plenty of women supporting tiffany and plenty of lies patty has told n nbut the beautiful thing about this country is that you every have a right to your opinion and your vote
376,5/3/2024,Republican,laurenboebert many people don t know this when they just bought the democrats talking points also president lincoln who led the civil war to free the slaves was a republican do your own research the truth shall set you free
377,5/3/2024,Democrat,learn more about my education platform and consider joining me in this fight by visiting my campaign website here
378,5/3/2024,Democrat,learned about the work of the joint institute for global food water amp energy security its a partnership of jnfusa uarizona amp israel s arava region w focuses on tech amp ed in arid regions particularly helping communities in africa it also applies to our climate in az
379,5/3/2024,Republican,lee zeldin standing up for his opponent s medical freedom is true leadership
380,5/3/2024,Republican,let s add seancasten and marie4congress to that list
381,5/3/2024,Democrat,let s be clear republicans will gut social security and medicare and nunnforcongress will rubber-stamp their extremist agenda n
382,5/2/2024,Democrat,let s keep it going n n
383,5/3/2024,Democrat,let s send sam a proud north carolinian and a tough fighter to congress
384,5/3/2024,Democrat,let s show mitch the power of this grassroots team donate 6 13 or 22 help us flip ohio blue and expand the senate majority n n
385,5/3/2024,Republican,like i tweeted a few days ago going after elon musk would be another democrat failure n nand here we are
386,5/3/2024,Democrat,look folks i m not a millionaire and i don t have billionaire friends like jd i m relying on team ryan can you chip in 5 to keep our momentum going n n
387,5/3/2024,Democrat,looking forward to spending the day criss-crossing district 10 with senator stabenow
388,5/3/2024,Democrat,losing power can be catastrophic for families and small businesses the bipartisaninfrastructuredeal will reinvest in our power infrastructure making our grid cleaner and more reliable
389,5/3/2024,Democrat,love meeting your fur kids on the campaign trail do you have pet that s supporting the campaign show us the pics in the comments please
390,5/3/2024,Republican,made many new friends at the rockford summer celebration the community here is really something special
391,5/3/2024,Democrat,madison cawthorn showed up on january 6 not just ready but eager for violence his words actions and reactions all show a guy who was looking forward to seeing blood spilled n nrt if you think it s past time for the january6thcmte to subpoena madison cawthorn
392,5/3/2024,Republican,make america great again
393,5/3/2024,Republican,make plans to attend the red wave rally we must develop large active volunteer teams to win cd4 my team is growing fast and we run hard bring the friend and a coworker pizza salad soda votejeroneforcongress
394,5/3/2024,Democrat,man55rowdy gavinnewsom eleniforca senalexpadilla tonythurmond thanks
395,5/3/2024,Democrat,marceelias christysmithca ahh the ability for your own team to create the maps to the disadvantage of all others - and john roberts wants to review amp approve n nkarma for the north carolina dems excluding a green party candidate unfairly
396,5/3/2024,Democrat,marco rubio believes it is a waste of time to codify same-sex marriage n nron desantis passed the don t say gay bill n nall of my gop opponents agree with them n nunlike them florida democrats support the lgbtq community
397,5/3/2024,Democrat,markgorman4ca06 no negotiations just leadership n nplease join me to call on putin kremlinrussia_e to order a ceasefire n nand for every russian soldier to secure their weapon and begin helping civilians n ntag everyone joebiden
398,5/3/2024,Democrat,marlinga is running to win and will leave no stone unturned to earn the support of the voters both in the primary and in the general election democrats know that a woman s right to choose protections for lake st clair and creating middle class jobs are all on the line
399,5/3/2024,Democrat,martinhopkins39 repmiketurner mariabartiromo sundayfutures if that tweet is real- it s time to take the treason loving traitor into custody
400,5/3/2024,Democrat,may is mentalhealthawarenessmonth i have spent a decade working across the aisle in the state senate to improve mental health services for children here in iowa i wrote about why it s so important
401,5/3/2024,Republican,mayraflores2022 patriciapoe3 all gun laws are infringements thank you for voting no
402,5/3/2024,Republican,megaredwave politicsrea it hasn t been a surprise since 2016 anyone who is still shocked over latinos moving toward trump and america first has been living with their head in the sand
403,5/3/2024,Republican,message me n n schoolboard boardofeducation local boe elections parentalrights crt mandates
404,5/3/2024,Democrat,michael_muscato we ll you know what to tell repgosar for me n ntell repdavid schweikert his trump endorsement doesn t intimate me or the voters in az01 n ntell captmarkkelly and gabby i send my love n nand if you see repkarenbass tell her i m rooting for her to become the next la mayor
405,5/3/2024,Democrat,michelleobama solution medicareforall codifies women s reproductive freedom n- - and includes contraceptives - with full expert physicians analysis to the best rex for each person n nwe persuaded 121 co-sponsors in 2021 nlet s elect 80 more in 2022 n nlet s pass the bill in 2023 berniesanders
406,5/3/2024,Republican,mid hudson news schmitt delivers books school supplies to honor n n n
407,5/3/2024,Democrat,mil gracias to the rgv hispanic chamber of commerce for hosting this really great meet and greet today n nearly vote starts monday do you already have your plans to vote vamos por quince n n tx15
408,5/3/2024,Republican,mlucoji mayraflores2022 bingo fulcrum
